log_id,x,y,time,energy,elevation,friction,local_grid
0,20,20,0,200.0,-4709.6904,0.5,"-4714-4712-4711
-4711  x  -4708
-4707-4706-4705"
1,20,21,12,150.0,-4708.3374,0.5,"-4712-4711-4710
-4709  x  -4707
-4706-4705-4704"
2,20,22,24,100.0,-4707.2456,0.5,"-4711-4710-4708
-4708  x  -4705
-4705-4704-4703"
3,20,23,36,50.0,-4705.782,0.5,"-4710-4708-4706
-4707  x  -4704
-4704-4703-4701"
4,20,24,48,0.0,-4704.327,0.5,"-4708-4706-4704
-4705  x  -4702
-4703-4701-4700"
5,20,25,70,150.0,-4702.6655,0.5,"-4706-4704-4703
-4704  x  -4700
-4701-4700-4698"
6,21,25,83,100.0,-4700.0386,0.5,"-4704-4702-4700
-4701  x  -4698
-4698-4697-4696"
7,21,26,95,50.0,-4698.2324,0.5,"-4702-4700-4699
-4700  x  -4696
-4697-4696-4694"
8,22,26,107,0.0,-4696.6104,0.5,"-4700-4698-4696
-4697  x  -4694
-4693-4692-4691"
9,22,27,130,150.0,-4694.2754,0.5,"-4698-4696-4695
-4696  x  -4692
-4692-4691-4689"
10,22,28,142,100.0,-4692.5645,0.5,"-4696-4695-4693
-4694  x  -4690
-4691-4689-4687"
11,22,29,154,50.0,-4690.968,0.5,"-4695-4693-4691
-4692  x  -4687
-4689-4687-4684"
12,23,29,168,0.0,-4687.5293,0.5,"-4692-4690-4687
-4689  x  -4684
-4686-4684-4682"
13,23,30,191,150.0,-4684.7803,0.5,"-4690-4687-4687
-4687  x  -4682
-4684-4682-4679"
14,23,31,203,100.0,-4682.948,0.5,"-4687-4687-4683
-4684  x  -4681
-4682-4679-4677"
15,23,32,215,50.0,-4681.0513,0.5,"-4687-4683-4681
-4682  x  -4678
-4679-4677-4675"
16,23,33,228,0.0,-4678.62,0.5,"-4683-4681-4679
-4681  x  -4676
-4677-4675-4672"
17,23,34,250,150.0,-4676.988,0.5,"-4681-4679-4677
-4678  x  -4674
-4675-4672-4670"
18,23,35,263,100.0,-4674.268,0.5,"-4679-4677-4674
-4676  x  -4672
-4672-4670-4667"
19,23,36,276,50.0,-4672.0005,0.5,"-4677-4674-4671
-4674  x  -4668
-4670-4667-4665"
20,23,37,290,0.0,-4668.4937,0.5,"-4674-4671-4668
-4672  x  -4664
-4667-4665-4661"
21,24,37,314,150.0,-4665.45,0.5,"-4672-4668-4664
-4667  x  -4661
-4664-4661-4658"
22,24,38,328,100.0,-4661.582,0.5,"-4668-4664-4661
-4665  x  -4658
-4661-4658-4655"
23,24,39,341,50.0,-4658.6406,0.5,"-4664-4661-4656
-4661  x  -4656
-4658-4655-4650"
24,24,40,354,0.0,-4656.573,0.5,"-4661-4656-4653
-4658  x  -4651
-4655-4650-4647"
25,23,40,375,150.0,-4656.8076,0.5,"-4664-4660-4655
-4661  x  -4653
-4658-4656-4651"
26,23,41,389,100.0,-4653.3774,0.5,"-4660-4655-4652
-4656  x  -4648
-4656-4651-4646"
27,24,41,401,50.0,-4651.454,0.5,"-4656-4653-4648
-4656  x  -4646
-4650-4647-4636"
28,25,41,416,0.0,-4647.2183,0.5,"-4656-4651-4646
-4650  x  -4636
-4647-4644-4635"
29,26,41,439,150.0,-4644.9326,0.5,"-4650-4647-4636
-4647  x  -4635
-4644-4634-4633"
30,26,40,452,100.0,-4647.189,0.5,"-4655-4650-4647
-4650  x  -4644
-4647-4644-4634"
31,27,40,466,50.0,-4644.067,0.5,"-4650-4647-4644
-4647  x  -4634
-4644-4633-4632"
32,27,39,480,0.0,-4647.5547,0.5,"-4654-4650-4647
-4651  x  -4644
-4647-4644-4633"
33,28,39,504,150.0,-4644.437,0.5,"-4651-4647-4644
-4647  x  -4633
-4637-4635-4631"
34,28,38,518,100.0,-4647.8105,0.5,"-4654-4651-4647
-4650  x  -4644
-4646-4637-4635"
35,27,38,532,50.0,-4651.134,0.5,"-4658-4654-4650
-4654  x  -4647
-4650-4647-4644"
36,26,38,546,0.0,-4654.517,0.5,"-4661-4658-4655
-4658  x  -4650
-4654-4651-4647"
